,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,interval,event
state,0.9999999999999998,0.1638945541416268,0.08024505228640158,0.009961345399184375,0.08985758724811592,-0.16584094761085078,0.05274156123080936,-0.17200755100386655,-0.003855010732698848,-0.1250524555972931,0.03429076536980368,0.018097027428223895,-0.0010616145438713128,0.09229523510515919,-0.048874322138172686,-0.02717800877087465,0.12414589840194672,0.16287691287149475,-0.05966978288670812,-0.06896028282380273,-0.005257067270689117,-0.10777880694495025,0.0027292498942493226,-0.02744269545785015,-0.07873440530309202,-0.01823124861913819,0.024412427735167424,0.06229770022018129,0.050220607254360325,-0.019732120813467015,-0.02551410167292715,0.10844048898351631
edss-1,0.1638945541416268,1.0,0.1021098926205358,0.024279336216502665,0.10849563933450675,-0.1679319653406328,0.045164864789611216,-0.17028443761034792,-0.04734984111790269,-0.06716388700212385,0.032458216754741684,0.0847060203387438,0.03375764201461164,0.10649081773926475,-0.053672842849791284,-0.04490350281875217,0.07294907713919875,0.06290312419094125,-0.047365912973175814,-0.07349027480110029,0.045779721681201015,0.01299795887390413,0.05751514500236474,0.03593975192120592,-0.0025732247657954455,0.02149697667279735,-0.1058006134435439,-0.004425669436421681,0.001941757722455524,0.06900154513629764,-0.0104546827200462,0.046604880738809105
blood-1,0.08024505228640158,0.10210989262053578,1.0,0.5035123032057792,0.8060496283264962,-0.038507678737614986,0.06693334242082036,-0.06700590404641105,-0.020838690956702745,-0.02416652185229794,0.009186339112862972,0.009293051596263466,-0.06244864255599989,0.010739754519290467,-0.028886776072563125,0.010750179791795931,0.15883391096149552,0.034009879778594376,0.11258255097165996,0.004931124834844773,0.20635297634018904,-0.02793737136223316,0.18769718441011965,0.15442743844440274,-0.04625561078751007,0.02576042716027285,-0.07130689370798851,-0.01922169533267391,0.023024215944219564,0.06239847484229228,0.0470342282107666,0.0036691264283959407
blood-2,0.009961345399184373,0.02427933621650266,0.5035123032057791,0.9999999999999998,0.32424935087276063,0.011823592367373695,0.04295573385916615,0.0003624142423388252,-0.02794477552388793,0.036716908109120844,-0.007774102850457571,0.013346216749674017,-0.007071700719864555,-0.011187738314299568,-0.015174593240977337,0.003491588407867077,0.215818263842598,0.012864283902517244,0.17574168288841138,-0.004084719084602946,0.3851441506455221,0.007755654392473229,0.3251791746658808,0.29330224472655786,-0.03449948718545589,0.04460848352700008,-0.09418728349133706,0.020782457285679193,0.003268833003050008,-0.011339011462359284,0.04315298436038392,0.0049903950026778075
blood-3,0.08985758724811592,0.10849563933450673,0.8060496283264961,0.32424935087276063,1.0,-0.05048545822136691,0.06358500727269338,-0.07775118041632328,-0.00868906678573589,-0.03203765897153215,0.0038014912147075574,0.007136307898258651,-0.0610570121077011,0.013713658192387785,-0.031213587056450862,0.015982578602876114,0.1021411001305292,0.033835743231225734,0.06451087339837663,0.005812024932484864,0.10948442495561778,-0.032887439612549224,0.10389222790599208,0.07724309299150506,-0.03997901535841935,0.014704733393329047,-0.050743432950166846,-0.03408133896212875,0.017712593561646166,0.07598778356422023,0.03724805905302351,0.004316922024627681
thyroid-1,-0.16584094761085078,-0.16793196534063282,-0.03850767873761498,0.011823592367373695,-0.0504854582213669,0.9999999999999999,0.14597059405726068,0.5604747425023798,0.2067043849013531,0.14326459729850663,-0.10333511120656766,-0.061366578401621956,-0.03536176605096645,-0.049899980781723925,0.16382079816665357,0.10294694965208462,-0.08529564170627245,-0.20009458718584527,0.1651196401269367,0.11380127240602937,0.10234364493107055,0.10418330719516787,0.08169694590008167,0.12325216356877021,0.059931746800209414,0.04002384500337241,-0.058622901389291084,-0.07399773816969334,-0.06629827954235958,-0.0217004618647191,-0.0023738930590920296,0.02117058905915873
thyroid-2,0.05274156123080936,0.045164864789611216,0.06693334242082036,0.04295573385916616,0.06358500727269337,0.14597059405726068,1.0,0.014667406206700656,0.3061066840929037,-0.03952223620000126,0.017847845476543365,0.03576847089954224,-0.0283219656562005,0.02207506917017033,-0.011696661581946943,-0.01791698074872623,0.17371798692437843,0.11952012351078431,0.04153075218835637,-0.047735003539922896,0.1308220178724206,-0.05094725112922231,0.11038841199202493,0.10986028905695217,-0.04832843243032364,0.01657140660457117,-0.11282596185886491,-0.0643812307929539,-0.01041914487711281,-0.045049740734910144,0.00993981874650583,-0.012372182683259746
thyroid-3,-0.17200755100386655,-0.1702844376103479,-0.06700590404641105,0.0003624142423388252,-0.07775118041632328,0.5604747425023798,0.014667406206700654,1.0,0.34183325277434096,0.1266154792777706,-0.0812023653726032,-0.024902394598613042,0.016719433047061655,-0.029284686540288752,0.15256833398841965,0.12242312369800633,-0.198480544294775,-0.27090393416205116,0.12618488926614865,0.13289631747419112,-0.011378490846533787,0.14664119654055763,-0.02879630567503742,0.03629426472232328,0.09678287434926117,-0.0029164923014625525,0.057703835240624266,0.016338367135181324,-0.08283790363081486,-0.005101399218379174,-0.054975203824913506,0.03528219838621149
thyroid-4,-0.003855010732698848,-0.04734984111790269,-0.020838690956702745,-0.02794477552388793,-0.00868906678573589,0.2067043849013531,0.3061066840929037,0.34183325277434096,1.0,-0.03896956896898777,0.02738911425960383,0.021920810900228065,0.04825531376432265,0.0348859782315247,0.028009633353965283,0.07132520828971357,-0.009703959813040635,-0.013528222119243824,0.0342949664189032,0.04081989236704785,-0.018974650109671722,-0.01660990352035842,-0.015335597075721564,-0.0140921719160236,-0.018394655499653228,-0.01443358826822097,0.05956002060304929,0.037510603097095946,-0.019868913348901823,0.011481075733651733,0.0529104241439935,0.017693275885458302
thyroid-5,-0.1250524555972931,-0.06716388700212385,-0.02416652185229794,0.036716908109120844,-0.03203765897153215,0.14326459729850663,-0.03952223620000126,0.1266154792777706,-0.03896956896898777,1.0,0.015814127758797297,0.020108995437530097,0.03941962691907689,-0.013918007171022477,0.05003811762984325,-0.042082638962843914,0.015090579430956104,-0.04866108743326075,0.02352536552748745,-0.04049877187303612,0.10849355403376668,0.09505829641914434,0.0934453205250392,0.11435680151924585,0.07968401534856828,0.034841414663318,0.0005770207635101078,-0.030435072489237054,-0.03214605216926084,0.10261537164770854,-0.07480173259133956,0.012931690865425201
