,age,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,event
age,1.0,-0.05155592579896182,0.2041352841582243,-0.16783768262365484,-0.12097037372120552,-0.1529338108059433,-0.14930249555902295,-0.046275069128709274,-0.089310891824748,0.024976311784029342,0.022320096388315214,-0.011259093033908365,0.02903339434532638,0.07936158268743289,-0.010710754554651345,0.09932293480911156,-0.0375637408617151,-0.12686482641821267,-0.0700281616407263,0.0798197984118271,0.16459575720897412,-0.1659413337223254,-0.08817168299187143,-0.07817572818172908,-0.19921340972615895,-0.11276554375239861,0.0955356396038914,-0.0758198326386885,0.12349634736159817,-0.20896391650909826,0.06566286004866612,-0.1244411069299388
state,-0.05155592579896183,1.0,0.19609748794681506,0.12260137489028117,0.021664399068982508,0.13973151634573142,-0.16899403882744207,0.049220742167347946,-0.18399678592812144,0.015591470737346907,-0.1297859769921283,0.06186616486783472,0.05023194811797924,-0.0010616145438712705,0.06183157240286356,-0.05576912207093534,-0.02549708638337931,0.22021327909043645,0.28038062579396106,-0.057148476782942256,-0.06694128905797017,0.014113092489012097,-0.1392590547313781,0.03835793878598633,-0.029526395703984798,-0.08738128715075771,-0.02217107324009158,0.0748844836889736,0.06925522147998327,0.06886981049875131,0.0075265502992228565,0.10844048898351626
edss-1,0.20413528415822424,0.1960974879468151,1.0,0.1397370653209275,0.02040077031813576,0.15455262635540123,-0.26181818792130435,0.06648035724902614,-0.23217920039690512,-0.0535919846951717,-0.05154444969615171,-0.008243961073590204,0.08192856708783779,0.0350856865522553,0.052501667626526985,-0.10697778537379551,-0.09613203081131819,0.08330291624473912,0.09308968917946006,-0.06870562068078132,-0.09602999260701038,0.049749102217057466,0.021238267774521032,0.07196951614493065,0.03807755356073525,0.011409385411000344,0.0423691860743009,-0.09010881275820873,0.02199558087898667,0.009738337343447713,0.09990117192952326,0.03703867962357542
blood-1,-0.1678376826236549,0.12260137489028115,0.1397370653209275,1.0,0.6441485902951054,0.9343314242791109,-0.07889467075508065,0.09215989991663291,-0.13607315178078522,-0.05807015179128204,-0.047672277283101694,0.011233522341531146,0.05199058854235978,-0.057343065177401016,0.006799436979333711,-0.043013007873056175,-0.0067373130895688445,0.18847703714506983,0.09453873383717226,0.08644817285650036,-0.030585693930736547,0.24869913713873282,-0.0393533292070714,0.2254575525782123,0.18965016270664428,-0.04123522528935747,0.012379077360903627,-0.09536999238505678,-0.01184399862179839,0.03050730428281267,0.0538362886770575,0.035289881567722975
blood-2,-0.12097037372120552,0.021664399068982508,0.020400770318135735,0.6441485902951054,1.0,0.41054980783105927,0.016731414768154724,0.05725871063168739,0.018500760654309677,-0.030548941927690473,0.022912490425808476,0.02511869286893458,0.049489796362750395,-0.0035726337119098743,-0.017282751876208143,-0.022336722752074427,-0.0034366788691834057,0.2345149332541694,0.03368996196327512,0.17716870496558612,-0.04039792501998114,0.42860020101275775,0.02114893856696121,0.38936943651982864,0.34025482192117995,-0.042347307520995685,0.05900314167920393,-0.130214657666603,0.03694729353270757,0.017565394369194687,-0.03210382832821571,0.015313626086479211
blood-3,-0.1529338108059433,0.13973151634573133,0.1545526263554013,0.934331424279111,0.4105498078310593,1.0,-0.10014267300621539,0.08504443065401003,-0.16575906268213697,-0.05432820398086771,-0.06009266817084421,0.0029778317902978673,0.044743669933426204,-0.06106820519082446,0.012224479246133974,-0.045455684149958125,0.0006867888284806453,0.1256801432716537,0.08153181039748542,0.04174790087104601,-0.01445872842445154,0.14072845204316384,-0.049087899922283,0.12850465706503428,0.10803740919728252,-0.02857505869192008,-0.0135638289241616,-0.06686887051169421,-0.02460655503161678,0.019434862920416508,0.07654473962949188,0.02964965357450826
thyroid-1,-0.149302495559023,-0.16899403882744202,-0.2618181879213044,-0.07889467075508065,0.016731414768154734,-0.10014267300621543,1.0,0.2754946915177324,0.7229296472951854,0.2775000228437081,0.14340075388807633,-0.1297240081980491,-0.008281690699973518,-0.03087791258772535,0.009605862069393633,0.21055183964839927,0.12006523611382902,-0.07847546134940991,-0.2576388295881151,0.1383201484470355,0.09617570276471565,0.15243412811975313,0.14408120878806246,0.11941400386685985,0.14852569216470132,0.08539690880982181,0.04198547905520192,-0.18545007224953383,-0.13608448049818775,-0.023687684842290085,-0.07495476053822496,0.03087654276755569
thyroid-2,-0.0462750691287093,0.049220742167347876,0.06648035724902615,0.09215989991663295,0.05725871063168738,0.08504443065401006,0.2754946915177324,1.0,0.047619932457895475,0.4301497510621329,-0.10292394432771174,-0.02114094644033448,0.0377971231098423,-0.030501474728831194,0.055715374671015616,-0.030350758770228106,-0.0072315674432620655,0.22322777274834765,0.16134826973719535,0.039262631180400694,-0.04385879164135556,0.19542133247121304,-0.11044518447040368,0.18338722399290633,0.14648791638800832,-0.0744146518355999,-0.002246992722079048,-0.109382513094879,-0.08366589309339616,-0.028639439254306582,-0.05747896877759608,-0.027887119489324288
thyroid-3,-0.089310891824748,-0.18399678592812146,-0.23217920039690523,-0.13607315178078522,0.018500760654309677,-0.16575906268213692,0.7229296472951855,0.04761993245789543,1.0,0.4891818583837156,0.17814197607212512,-0.09558554852454139,-0.015593905565637932,0.025068354625476727,0.04174293034991494,0.19854774936402547,0.16542406107047097,-0.2376334815281755,-0.3602560432085359,0.15237614401770944,0.16204183860533575,-0.014663576718890658,0.17415893989774697,-0.049001317817068915,0.03946915539012969,0.1453615240606139,-0.004013249165883446,-0.03228173916449005,0.0025616698268956816,-0.029139322269589582,-0.04184627939079926,0.05411191673707331
thyroid-4,0.024976311784029318,0.0155914707373469,-0.053591984695171714,-0.058070151791282054,-0.030548941927690507,-0.05432820398086767,0.2775000228437082,0.4301497510621329,0.48918185838371564,1.0,-0.06009166364093429,-0.038349000100451495,0.02028604456120993,0.07760969766644482,0.07926750204313864,-0.001435154618794981,0.1028582556516441,-0.035586570605914636,-0.01801336260904949,0.05392517530956373,0.04667676142022414,-0.03931806751816469,-0.05132127988600649,-0.03433758704487751,-0.023713818376958906,-0.031851617079693445,-0.012666213216546205,0.03379011558725625,0.06338854254484912,0.008264339390206888,-0.03956683538014466,0.011016773777248867
