,pearson,spearman,kendall
age,-0.05155592579896182,-0.049476391891783815,-0.04078573785069032
state,1.0,1.0,0.9999999999999998
edss-1,0.1960974879468151,0.188791841344501,0.1638945541416268
blood-1,0.12260137489028115,0.09820008376135674,0.08024505228640158
blood-2,0.021664399068982508,0.012197646275305224,0.009961345399184373
blood-3,0.13973151634573133,0.11003085393605214,0.08985758724811592
thyroid-1,-0.16899403882744202,-0.20246031369883424,-0.16584094761085078
thyroid-2,0.049220742167347876,0.06443276368024373,0.05274156123080936
thyroid-3,-0.18399678592812146,-0.21017097717421024,-0.17200755100386655
thyroid-4,0.0155914707373469,-0.0047054419928203,-0.003855010732698848
thyroid-5,-0.12978597699212827,-0.15301929942624817,-0.1250524555972931
thyroid-6,0.06186616486783469,0.041107946453224825,0.03429076536980368
thyroid-7,0.05023194811797923,0.02200132543975686,0.018097027428223895
ana18-1,-0.001061614543871268,-0.0010616145438713128,-0.0010616145438713128
aqp4igg-1,0.06183157240286358,0.10116049922845119,0.0922952351051592
vitd-1,-0.05576912207093534,-0.05972420575963155,-0.04887432213817269
vitd-2,-0.025497086383379303,-0.03303216402338747,-0.027178008770874652
t_b-1,0.22021327909043645,0.15183553439319245,0.12414589840194673
t_b-2,0.2803806257939611,0.1989130118164283,0.16287691287149475
t_b-3,-0.057148476782942256,-0.07297865246281637,-0.059669782886708114
t_b-4,-0.06694128905797014,-0.08424054169660329,-0.06896028282380272
t_b-5,0.014113092489012111,-0.006435785902319026,-0.005257067270689117
t_b-6,-0.13925905473137815,-0.13174974844030662,-0.10777880694495025
t_b-7,0.03835793878598635,0.003340737958934513,0.002729249894249322
t_b-8,-0.029526395703984798,-0.03358580085055322,-0.02744269545785015
t_b-9,-0.08738128715075771,-0.09624217545857748,-0.07873440530309202
t_b-10,-0.022171073240091595,-0.022229109899129976,-0.01823124861913819
ig3-1,0.07488448368897363,0.029876950231955263,0.024412427735167424
ig3-2,0.06925522147998324,0.07613695234560197,0.06229770022018128
ig3-3,0.0688698104987513,0.061306158322238936,0.050220607254360325
il_6-1,0.007526550299222855,-0.02229592515233742,-0.019732120813467015
event,0.10844048898351626,0.1084404889835163,0.1084404889835163
