,0
t_b-1,0.6706336864052606
t_b-2,0.6148000686810974
blood-3,0.5128080602295263
edss-1,0.42894039122477357
thyroid-6,0.3892637195206314
aqp4igg-1,0.35588350466133817
blood-1,0.3246727106337332
ig3-2,0.31929800120982066
thyroid-2,0.31570673548727296
ig3-3,0.28337078910697105
ig3-1,0.2801402450839605
thyroid-7,0.27571838046537184
thyroid-4,0.2650576085233891
t_b-7,0.2638705154309283
blood-2,0.2593441750099223
il_6-1,0.2591111235852816
t_b-8,0.24626512355581495
t_b-5,0.23578992897881842
vitd-2,0.22942350598540126
ana18-1,0.22398165042316778
t_b-10,0.21291505297940513
t_b-4,0.20917904479112726
vitd-1,0.2011779538115078
t_b-3,0.19420578773839317
thyroid-5,0.18486108033936235
thyroid-1,0.17218681522276527
t_b-9,0.16986795223401732
thyroid-3,0.1484825354502339
t_b-6,0.1290751030105521
