,pearson,spearman,kendall,综合
0,t_b-1,state,state,state
1,state,t_b-1,t_b-1,t_b-1
2,t_b-2,t_b-2,t_b-2,t_b-2
3,blood-1,age,age,age
4,age,aqp4igg-1,aqp4igg-1,blood-1
5,blood-3,blood-1,blood-1,aqp4igg-1
6,aqp4igg-1,blood-3,blood-3,blood-3
7,t_b-5,blood-2,blood-2,t_b-5
8,t_b-7,il_6-1,il_6-1,blood-2
9,blood-2,t_b-5,t_b-5,t_b-7
10,t_b-4,t_b-7,t_b-7,il_6-1
11,il_6-1,t_b-6,t_b-6,t_b-4
12,t_b-8,ig3-3,ig3-3,t_b-8
13,vitd-1,vitd-1,vitd-1,vitd-1
14,t_b-3,t_b-8,t_b-8,t_b-6
15,vitd-2,t_b-4,t_b-4,ig3-3
16,ig3-1,vitd-2,vitd-2,vitd-2
17,ig3-3,ig3-2,ig3-2,ig3-1
18,t_b-6,t_b-9,t_b-9,ig3-2
19,ig3-2,t_b-10,t_b-10,t_b-9
20,t_b-9,ig3-1,ig3-1,t_b-10
21,t_b-10,t_b-3,t_b-3,t_b-3
22,edss-1,edss-1,edss-1,edss-1
